num__Principal,num__age,num__period,cat__terms_7,cat__terms_15,cat__terms_30,cat__effective_day_0,cat__effective_day_1,cat__effective_day_2,cat__effective_day_3,cat__effective_day_4,cat__effective_day_5,cat__effective_day_6,cat__due_month_9,cat__due_month_10,cat__due_month_11,cat__due_day_0,cat__due_day_1,cat__due_day_2,cat__due_day_3,cat__due_day_4,cat__due_day_5,cat__due_day_6,cat__education_0,cat__education_1,cat__education_2,cat__Gender_0,cat__Gender_1,loan_status
0.4933768690830148,0.9679707760398374,0.45542974590310387,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
0.4933768690830148,-0.5126099486981871,0.45542974590310387,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.4933768690830148,-0.5126099486981871,0.45542974590310387,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.4933768690830148,0.9679707760398374,-0.8935920132885545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.4933768690830148,1.4614976842858456,-0.8935920132885545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
0.4933768690830148,0.3099348983784932,0.45542974590310387,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.4933768690830148,-1.0061368569441953,0.45542974590310387,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.4933768690830148,2.613060470193198,-0.8935920132885545,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
0.4933768690830148,-0.18359200986751498,-0.8935920132885545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.4933768690830148,-0.6771189181135232,-1.613070284857439,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
